old_name,new_name,year,authors,title,source,status
aw04ton.pdf,04aw-predictive.pdf,2004,Ian F. Akyildiz and Wenye Wang,The Predictive User Mobility Profile Framework for Wireless Multimedia Networks,data/publications.php,renamed
aw05bn.pdf,05aw-measuring.pdf,2005,Avesh K. Agarwal and Wenye Wang,Measuring Performance Impact of Security Protocols in Wireless Local Area Networks,data/publications.php,renamed
aw05gb.pdf,05awm-experimental.pdf,2005,"Avesh Agarwal, Wenye Wang, Janise Y. McNair",An Experimental Study of Cross-Layer Security Protocols in Public Access Wireless Networks,data/publications.php,renamed
aw05ic3.pdf,05aw-statistical.pdf,2005,Avesh Agarwal and Wenye Wang,Statistical Analysis of the Impact of Routing in MANET Based on Real-Time Measurements,data/publications.php,renamed
Competing_Epidemics_on_Graphs_-_Global_Convergence_and_Coexistence.pdf,21dme-competing.pdf,2021,"Prajwal N. Doshi, Saurabh Mallick, and Do Young Eun",Competing Epidemics on Graphs: Global Convergence and Coexistence,manual-override,renamed
Controlling_Metastable_Infection_Patterns_in_Multilayer_Networks_via_Interlink_Design.pdf,21cde-controlling.pdf,2021,"Ayan Chattopadhyay, Huaiyu Dai, and Do Young Eun",Controlling Metastable Infection Patterns in Multilayer Networks via Interlink Design,manual-override,renamed
Differential_Privacy_and_Prediction_Uncertainty_of_Gossip_Protocols_in_General_Networks.pdf,20jde-differential.pdf,2020,"Mohammad Hossein Jafari, Huaiyu Dai, and Do Young Eun",Differential Privacy and Prediction Uncertainty of Gossip Protocols in General Networks,manual-override,renamed
lw04gb.pdf,04lw-dynamic.pdf,2004,Wei Liang and Wenye Wang,A Dynamic Security Association Control Scheme for Efficient Authentication in Wireless Networks,data/publications.php,renamed
lw04ic3n.pdf,04lw-analytical.pdf,2004,Wei Liang and Wenye Wang,An Analytical Study on the Impact of Authentication in Wireless Local Area Networks,data/publications.php,renamed
lw04mil.pdf,04lw-lightweight.pdf,2004,Wei Liang and Wenye Wang,A Lightweight Authentication Protocol with Local Security Association Control in Mobile Networks,data/publications.php,renamed
lw04pimrc.pdf,04lw-cost.pdf,2004,Wei Liang and Wenye Wang,A Cost-Aware Control Scheme for Efficient Authentication in Wireless Networks,data/publications.php,renamed
lw04vtc.pdf,04lw-local.pdf,2004,Wei Liang and Wenye Wang,A Local Authentication Control Scheme Based on AAA Architecture in Wireless Networks,data/publications.php,renamed
mtw05comnet.pdf,05mtw-survey.pdf,2005,"Janise McNair, Tuna Tugcu, Wenye Wang, and Jiang Xie",A Survey of Cross-Layer Performance Enhancements for Mobile IP Networks,data/publications.php,renamed
tw05ic3.pdf,05tw-lightweight.pdf,2005,Nurcan Tezcan and Wenye Wang,A Lightweight Classification Algorithm for Energy Conservation in Wireless Sensor Networks,data/publications.php,renamed
tw06icc.pdf,06tw-tts-2.pdf,2006,Nurcan Tezcan and Wenye Wang,TTS: A Two-Tiered Scheduling Algorithm for Wireless Sensor Networks,data/publications.php,renamed
wa01jsac.pdf,01wa-new.pdf,2001,Wenye Wang and Ian F. Akyildiz,A New Signaling Protocol for Intersystem Roaming in Next-Generation Wireless Systems,data/publications.php,renamed
was01lt.pdf,01was-optimal.pdf,2001,"Wenye Wang, Ian F. Akyildiz, and Gordon L. St¨¹ber",An Optimal Partition Algorithm for Minimization of Paging Costs,data/publications.php,renamed
was01page.pdf,01was-effective.pdf,2001,"Wenye Wang, Ian F. Akyildiz, Gordon L. St¨¹ber, and Boo-Young Chung",Effective Paging Schemes with Delay Bounds as QoS Constraints in Wireless Systems,data/publications.php,renamed
wla05jwcmc.pdf,05wla-integration.pdf,2005,"Wenye Wang, Wei Liang, and Avesh K. Agarwal",Integration of Authentication and Mobility Management in Third Generation and WLAN Data Networks,data/publications.php,renamed
ww04gb.pdf,04ww-energy.pdf,2004,Xinbing Wang and Wenye Wang,Energy-Aware Call Admission Control Scheme in Wireless Cellular Networks,data/publications.php,renamed
ww04wcnc.pdf,04ww-efficient.pdf,2004,Xinbing Wang and Wenye Wang,An Efficient Negotiation Protocol for Real-Time Multimedia Applications Over Wireless Networks,data/publications.php,renamed
wwn06twc.pdf,06wwn-energy.pdf,2006,"Wenye Wang, Xinbing Wang, and Arne Nilsson","Energy-Efficient Bandwidth Allocation in Wireless Networks: Algorithms, Analysis, and Simulation",data/publications.php,renamed
wx06comnet.pdf,06wx-cost.pdf,2006,Wenye Wang and Guoliang Xue,A Cost-Minimization Algorithm for Fast Location Tracking in Mobile Wireless Networks,data/publications.php,renamed
xw06icc.pdf,06xw-modeling.pdf,2006,Fei Xing and Wenye Wang,Modeling and Analysis of Connectivity in Mobile Ad Hoc Networks with Misbehaving Nodes,data/publications.php,renamed
